Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change
2018.0,Group-1,Russia,5.0,0.0,Saudi Arabia,,,,,,,48,1424,1424,0,69,1335,1335,0
2018.0,Group-1,Egypt,0.0,1.0,Uruguay,,,,,,,56,1393,1393,0,7,1609,1609,0
2018.0,Group-1,Morocco,0.0,1.0,Iran,,,,,,,40,1440,1440,0,29,1481,1481,0
2018.0,Group-1,Portugal,3.0,3.0,Spain,,,,,,,6,1614,1614,0,9,1591,1591,0
2018.0,Group-1,France,2.0,1.0,Australia,,,,,,,2,1726,1726,0,41,1436,1436,0
2018.0,Group-1,Argentina,1.0,1.0,Iceland,,,,,,,11,1582,1582,0,37,1452,1452,0
2018.0,Group-1,Peru,0.0,1.0,Denmark,,,,,,,20,1518,1518,0,10,1589,1589,0
2018.0,Group-1,Croatia,2.0,0.0,Nigeria,,,,,,,4,1634,1634,0,44,1427,1427,0
2018.0,Group-1,Costa Rica,0.0,1.0,Serbia,,,,,,,36,1464,1464,0,29,1481,1481,0
2018.0,Group-1,Germany,0.0,1.0,Mexico,,,,,,,16,1558,1558,0,17,1540,1540,0
2018.0,Group-1,Brazil,1.0,1.0,Switzerland,,,,,,,3,1676,1676,0,8,1599,1599,0
2018.0,Group-1,Sweden,1.0,0.0,South Korea,,,,,,,14,1560,1560,0,53,1405,1405,0
2018.0,Group-1,Belgium,3.0,0.0,Panama,,,,,,,1,1727,1727,0,71,1326,1326,0
2018.0,Group-1,Tunisia,1.0,2.0,England,,,,,,,26,1493,1493,0,5,1631,1631,0
2018.0,Group-1,Colombia,1.0,2.0,Japan,,,,,,,12,1575,1575,0,50,1414,1414,0
2018.0,Group-1,Poland,1.0,2.0,Senegal,,,,,,,20,1518,1518,0,23,1505,1505,0
