Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change,Home Fairness Score,Away Fairness Score
2018.0,Group-1,Russia,5.0,0.0,Saudi Arabia,,,,,,,48,1424,1424,0,69,1335,1335,0,1.0666666666666667,0.9375
2018.0,Group-1,Egypt,0.0,1.0,Uruguay,,,,,,,56,1393,1393,0,7,1609,1609,0,0.8657551274083282,1.1550610193826274
2018.0,Group-1,Morocco,0.0,1.0,Iran,,,,,,,40,1440,1440,0,29,1481,1481,0,0.9723160027008778,1.0284722222222222
2018.0,Group-1,Portugal,3.0,3.0,Spain,,,,,,,6,1614,1614,0,9,1591,1591,0,1.014456316781898,0.9857496902106567
2018.0,Group-1,France,2.0,1.0,Australia,,,,,,,2,1726,1726,0,41,1436,1436,0,1.201949860724234,0.831981460023175
2018.0,Group-1,Argentina,1.0,1.0,Iceland,,,,,,,11,1582,1582,0,37,1452,1452,0,1.0895316804407713,0.9178255372945638
2018.0,Group-1,Peru,0.0,1.0,Denmark,,,,,,,20,1518,1518,0,10,1589,1589,0,0.9553178099433606,1.046772068511199
2018.0,Group-1,Croatia,2.0,0.0,Nigeria,,,,,,,4,1634,1634,0,44,1427,1427,0,1.1450595655220743,0.8733170134638923
2018.0,Group-1,Costa Rica,0.0,1.0,Serbia,,,,,,,36,1464,1464,0,29,1481,1481,0,0.9885212694125591,1.0116120218579234
2018.0,Group-1,Germany,0.0,1.0,Mexico,,,,,,,16,1558,1558,0,17,1540,1540,0,1.0116883116883117,0.9884467265725289
2018.0,Group-1,Brazil,1.0,1.0,Switzerland,,,,,,,3,1676,1676,0,8,1599,1599,0,1.0481550969355848,0.9540572792362768
2018.0,Group-1,Sweden,1.0,0.0,South Korea,,,,,,,14,1560,1560,0,53,1405,1405,0,1.1103202846975089,0.9006410256410257
2018.0,Group-1,Belgium,3.0,0.0,Panama,,,,,,,1,1727,1727,0,71,1326,1326,0,1.3024132730015083,0.7678054429646787
2018.0,Group-1,Tunisia,1.0,2.0,England,,,,,,,26,1493,1493,0,5,1631,1631,0,0.9153893316983446,1.0924313462826525
2018.0,Group-1,Colombia,1.0,2.0,Japan,,,,,,,12,1575,1575,0,50,1414,1414,0,1.113861386138614,0.8977777777777778
2018.0,Group-1,Poland,1.0,2.0,Senegal,,,,,,,20,1518,1518,0,23,1505,1505,0,1.0086378737541528,0.9914361001317523
2018.0,Group-2,Russia,3.0,1.0,Egypt,,,,,,,48,1424,1424,0,56,1393,1393,0,1.022254127781766,0.9782303370786517
2018.0,Group-2,Portugal,1.0,0.0,Morocco,,,,,,,6,1614,1614,0,40,1440,1440,0,1.1208333333333333,0.8921933085501859
2018.0,Group-2,Uruguay,1.0,0.0,Saudi Arabia,,,,,,,7,1609,1609,0,69,1335,1335,0,1.205243445692884,0.8297078931013051
2018.0,Group-2,Iran,0.0,1.0,Spain,,,,,,,29,1481,1481,0,9,1591,1591,0,0.9308610936517914,1.074274139095206
2018.0,Group-2,Denmark,1.0,1.0,Australia,,,,,,,10,1589,1589,0,41,1436,1436,0,1.1065459610027855,0.9037130270610447
2018.0,Group-2,France,1.0,0.0,Peru,,,,,,,2,1726,1726,0,20,1518,1518,0,1.1370223978919631,0.8794901506373117
2018.0,Group-2,Argentina,0.0,3.0,Croatia,,,,,,,11,1582,1582,0,4,1634,1634,0,0.9681762545899633,1.0328697850821744
2018.0,Group-2,Brazil,2.0,0.0,Costa Rica,,,,,,,3,1676,1676,0,36,1464,1464,0,1.144808743169399,0.8735083532219571
2018.0,Group-2,Nigeria,2.0,0.0,Iceland,,,,,,,44,1427,1427,0,37,1452,1452,0,0.9827823691460055,1.017519271198318
2018.0,Group-2,Serbia,1.0,2.0,Switzerland,,,,,,,29,1481,1481,0,8,1599,1599,0,0.9262038774233896,1.0796758946657663
2018.0,Group-2,Belgium,5.0,2.0,Tunisia,,,,,,,1,1727,1727,0,26,1493,1493,0,1.1567314132618889,0.8645049218297626
2018.0,Group-2,South Korea,1.0,2.0,Mexico,,,,,,,53,1405,1405,0,17,1540,1540,0,0.9123376623376623,1.096085409252669
2018.0,Group-2,Germany,2.0,1.0,Sweden,,,,,,,16,1558,1558,0,14,1560,1560,0,0.9987179487179487,1.0012836970474968
2018.0,Group-2,England,6.0,1.0,Panama,,,,,,,5,1631,1631,0,71,1326,1326,0,1.2300150829562595,0.8129981606376456
2018.0,Group-2,Japan,2.0,2.0,Senegal,,,,,,,50,1414,1414,0,23,1505,1505,0,0.9395348837209302,1.0643564356435644
2018.0,Group-2,Poland,0.0,3.0,Colombia,,,,,,,20,1518,1518,0,12,1575,1575,0,0.9638095238095238,1.0375494071146245
2018.0,Group-3,Saudi Arabia,2.0,1.0,Egypt,,,,,,,69,1335,1335,0,56,1393,1393,0,0.9583632447954056,1.043445692883895
2018.0,Group-3,Uruguay,3.0,0.0,Russia,,,,,,,7,1609,1609,0,48,1424,1424,0,1.1299157303370786,0.8850217526413922
2018.0,Group-3,Iran,1.0,1.0,Portugal,,,,,,,29,1481,1481,0,6,1614,1614,0,0.9175960346964065,1.0898041863605672
