Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change,Home Fairness Score,Away Fairness Score
1994.0,Group C,Spain,2.0,2.0,South Korea, ,0.0,0.0,337.0,ESP,KOR,2,62,61,3,35,41,41,0,1.5121951219512195,0.6612903225806451
1994.0,Group C,Germany,1.0,0.0,Bolivia, ,0.0,0.0,337.0,GER,BOL,5,61,61,1,44,37,37,1,1.6486486486486487,0.6065573770491803
1994.0,Group A,USA,1.0,1.0,Switzerland, ,1.0,1.0,337.0,USA,SUI,23,48,48,1,7,58,58,0,0.8275862068965517,1.2083333333333333
1994.0,Group E,Italy,0.0,1.0,Republic of Ireland, ,0.0,1.0,337.0,ITA,IRL,4,61,61,1,9,58,58,1,1.0517241379310345,0.9508196721311475
1994.0,Group A,Colombia,1.0,3.0,Romania, ,1.0,2.0,337.0,COL,ROU,17,53,53,2,11,57,57,0,0.9298245614035088,1.0754716981132075
1994.0,Group F,Belgium,1.0,0.0,Morocco, ,1.0,0.0,337.0,BEL,MAR,24,47,48,2,33,43,43,2,1.0930232558139534,0.9148936170212766
1994.0,Group E,Norway,1.0,0.0,Mexico, ,0.0,0.0,337.0,NOR,MEX,8,58,57,2,15,54,52,4,1.0740740740740742,0.9310344827586207
1994.0,Group B,Cameroon,2.0,2.0,Sweden, ,1.0,1.0,337.0,CMR,SWE,31,44,44,3,3,61,62,1,0.7213114754098361,1.3863636363636365
1994.0,Group F,Netherlands,2.0,1.0,Saudi Arabia, ,0.0,1.0,337.0,NED,KSA,6,60,60,0,27,45,45,0,1.3333333333333333,0.75
1994.0,Group B,Brazil,2.0,0.0,Russia, ,1.0,0.0,337.0,BRA,RUS,1,67,67,0,13,54,54,1,1.2407407407407407,0.8059701492537313
1994.0,Group D,Argentina,4.0,0.0,Greece, ,2.0,0.0,337.0,ARG,GRE,10,57,58,1,28,45,43,4,1.2666666666666666,0.7894736842105263
1994.0,Group D,Nigeria,3.0,0.0,Bulgaria, ,2.0,0.0,337.0,NGA,BUL,12,54,54,0,16,54,52,1,1.0,1.0
1994.0,Group C,Germany,1.0,1.0,Spain, ,0.0,1.0,337.0,GER,ESP,5,61,61,1,2,62,61,3,0.9838709677419355,1.0163934426229508
1994.0,Group A,Romania,1.0,4.0,Switzerland, ,1.0,1.0,337.0,ROU,SUI,11,57,57,0,7,58,58,0,0.9827586206896551,1.0175438596491229
1994.0,Group A,USA,2.0,1.0,Colombia, ,1.0,0.0,337.0,USA,COL,23,48,48,1,17,53,53,2,0.9056603773584906,1.1041666666666667
1994.0,Group E,Italy,1.0,0.0,Norway, ,0.0,0.0,337.0,ITA,NOR,4,61,61,1,8,58,57,2,1.0517241379310345,0.9508196721311475
1994.0,Group C,South Korea,0.0,0.0,Bolivia, ,0.0,0.0,337.0,KOR,BOL,35,41,41,0,44,37,37,1,1.1081081081081081,0.9024390243902439
1994.0,Group E,Mexico,2.0,1.0,Republic of Ireland, ,1.0,0.0,337.0,MEX,IRL,15,54,52,4,9,58,58,1,0.9310344827586207,1.0740740740740742
1994.0,Group B,Sweden,3.0,1.0,Russia, ,1.0,1.0,337.0,SWE,RUS,3,61,62,1,13,54,54,1,1.1296296296296295,0.8852459016393442
