Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change,Home Fairness Score,Away Fairness Score
2002.0,Group A,France,0.0,1.0,Senegal, ,0.0,1.0,43950100.0,FRA,SEN,2,787,787,0,27,646,640,2,1.2182662538699691,0.820838627700127
2002.0,Group A,Uruguay,1.0,2.0,Denmark, ,0.0,1.0,43950100.0,URU,DEN,28,643,653,5,12,707,705,1,0.9094766619519095,1.0995334370139969
2002.0,Group E,Republic of Ireland,1.0,1.0,Cameroon, ,0.0,1.0,43950100.0,IRL,CMR,14,697,699,0,16,685,685,1,1.0175182481751825,0.9827833572453372
2002.0,Group E,Germany,8.0,0.0,Saudi Arabia, ,4.0,0.0,43950100.0,GER,KSA,4,761,763,0,38,608,612,0,1.2516447368421053,0.7989487516425755
2002.0,Group F,Argentina,1.0,0.0,Nigeria, ,0.0,0.0,43950100.0,ARG,NGA,5,751,741,0,29,642,643,2,1.1697819314641744,0.8548601864181092
2002.0,Group B,Paraguay,2.0,2.0,South Africa, ,1.0,0.0,43950100.0,PAR,RSA,18,679,681,1,30,636,637,1,1.0676100628930818,0.9366715758468336
2002.0,Group F,England,1.0,1.0,Sweden, ,1.0,0.0,43950100.0,ENG,SWE,7,734,734,1,25,649,652,0,1.1309707241910631,0.8841961852861036
2002.0,Group B,Spain,3.0,1.0,Slovenia, ,1.0,0.0,43950100.0,ESP,SVN,3,779,779,0,36,620,625,1,1.2564516129032257,0.7958921694480102
2002.0,Group C,Brazil,2.0,1.0,Turkey, ,0.0,1.0,43950100.0,BRA,TUR,1,856,857,0,9,729,728,1,1.1742112482853224,0.8516355140186916
2002.0,Group G,Italy,2.0,0.0,Ecuador, ,2.0,0.0,43950100.0,ITA,ECU,13,705,710,2,31,634,634,1,1.11198738170347,0.8992907801418439
2002.0,Group G,Croatia,0.0,1.0,Mexico, ,0.0,0.0,43950100.0,CRO,MEX,32,629,625,4,8,732,731,1,0.8592896174863388,1.163751987281399
