Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change,Home Fairness Score,Away Fairness Score
1998.0,Group A,Brazil,2.0,1.0,Scotland, ,1.0,1.0,1014.0,BRA,SCO,1.0,73.0,74.0,0.0,38.0,50.0,50.0,2.0,1.46,0.684931506849315
1998.0,Group A,Morocco,2.0,2.0,Norway, ,1.0,1.0,1014.0,MAR,NOR,13.0,60.0,60.0,0.0,14.0,59.0,59.0,0.0,1.0169491525423728,0.9833333333333333
1998.0,Group B,Italy,2.0,2.0,Chile, ,1.0,1.0,1014.0,ITA,CHI,7.0,64.0,64.0,1.0,16.0,58.0,58.0,0.0,1.103448275862069,0.90625
1998.0,Group B,Cameroon,1.0,1.0,Austria, ,0.0,0.0,1014.0,CMR,AUT,41.0,49.0,48.0,2.0,22.0,55.0,55.0,1.0,0.8909090909090909,1.1224489795918366
1998.0,Group D,Paraguay,0.0,0.0,Bulgaria, ,0.0,0.0,1014.0,PAR,BUL,25.0,55.0,55.0,1.0,49.0,45.0,46.0,3.0,1.2222222222222223,0.8181818181818182
1998.0,Group C,Saudi Arabia,0.0,1.0,Denmark, ,0.0,0.0,1014.0,KSA,DEN,30.0,53.0,53.0,3.0,19.0,55.0,55.0,1.0,0.9636363636363636,1.0377358490566038
1998.0,Group C,France,3.0,0.0,South Africa, ,1.0,0.0,1014.0,FRA,RSA,2.0,69.0,69.0,0.0,26.0,54.0,53.0,2.0,1.2777777777777777,0.782608695652174
1998.0,Group D,Spain,2.0,3.0,Nigeria, ,1.0,1.0,1014.0,ESP,NGA,15.0,59.0,58.0,0.0,65.0,41.0,41.0,0.0,1.4390243902439024,0.6949152542372882
1998.0,Group E,Korea Republic,1.0,3.0,Mexico, ,1.0,0.0,1014.0,KOR,MEX,17.0,57.0,55.0,2.0,10.0,62.0,62.0,0.0,0.9193548387096774,1.087719298245614
1998.0,Group E,Netherlands,0.0,0.0,Belgium, ,0.0,0.0,1014.0,NED,BEL,11.0,62.0,62.0,2.0,35.0,51.0,52.0,1.0,1.2156862745098038,0.8225806451612904
1998.0,Group H,Argentina,1.0,0.0,Japan, ,1.0,0.0,1014.0,ARG,JPN,5.0,66.0,66.0,0.0,20.0,55.0,52.0,10.0,1.2,0.8333333333333334
1998.0,Group F,Yugoslavia,1.0,0.0,Iran, ,0.0,0.0,1014.0,YUG,IRN,6.0,65.0,64.0,1.0,,,,,,
1998.0,Group H,Jamaica,1.0,3.0,Croatia, ,1.0,1.0,1014.0,JAM,CRO,33.0,52.0,52.0,0.0,4.0,67.0,67.0,0.0,0.7761194029850746,1.2884615384615385
1998.0,Group G,England,2.0,0.0,Tunisia, ,1.0,0.0,1014.0,ENG,TUN,9.0,63.0,62.0,2.0,21.0,55.0,55.0,1.0,1.1454545454545455,0.873015873015873
1998.0,Group G,Romania,1.0,0.0,Colombia, ,1.0,0.0,1014.0,ROU,COL,12.0,60.0,60.0,0.0,34.0,52.0,52.0,2.0,1.1538461538461537,0.8666666666666667
1998.0,Group F,Germany,2.0,0.0,USA, ,1.0,0.0,1014.0,GER,USA,3.0,67.0,67.0,0.0,23.0,55.0,55.0,1.0,1.2181818181818183,0.8208955223880597
1998.0,Group A,Scotland,1.0,1.0,Norway, ,0.0,0.0,1014.0,SCO,NOR,38.0,50.0,50.0,2.0,14.0,59.0,59.0,0.0,0.847457627118644,1.18
1998.0,Group A,Brazil,3.0,0.0,Morocco, ,2.0,0.0,1014.0,BRA,MAR,1.0,73.0,74.0,0.0,13.0,60.0,60.0,0.0,1.2166666666666666,0.821917808219178
1998.0,Group B,Chile,1.0,1.0,Austria, ,0.0,0.0,1014.0,CHI,AUT,16.0,58.0,58.0,0.0,22.0,55.0,55.0,1.0,1.0545454545454545,0.9482758620689655
1998.0,Group B,Italy,3.0,0.0,Cameroon, ,1.0,0.0,1014.0,ITA,CMR,7.0,64.0,64.0,1.0,41.0,49.0,48.0,2.0,1.3061224489795917,0.765625
1998.0,Group C,South Africa,1.0,1.0,Denmark, ,0.0,1.0,1014.0,RSA,DEN,26.0,54.0,53.0,2.0,19.0,55.0,55.0,1.0,0.9818181818181818,1.0185185185185186
1998.0,Group C,France,4.0,0.0,Saudi Arabia, ,1.0,0.0,1014.0,FRA,KSA,2.0,69.0,69.0,0.0,30.0,53.0,53.0,3.0,1.3018867924528301,0.7681159420289855
1998.0,Group D,Nigeria,1.0,0.0,Bulgaria, ,1.0,0.0,1014.0,NGA,BUL,65.0,41.0,41.0,0.0,49.0,45.0,46.0,3.0,0.9111111111111111,1.0975609756097562
1998.0,Group D,Spain,0.0,0.0,Paraguay, ,0.0,0.0,1014.0,ESP,PAR,15.0,59.0,58.0,0.0,25.0,55.0,55.0,1.0,1.0727272727272728,0.9322033898305084
1998.0,Group H,Japan,0.0,1.0,Croatia, ,0.0,0.0,1014.0,JPN,CRO,20.0,55.0,52.0,10.0,4.0,67.0,67.0,0.0,0.8208955223880597,1.2181818181818183
1998.0,Group E,Belgium,2.0,2.0,Mexico, ,1.0,0.0,1014.0,BEL,MEX,35.0,51.0,52.0,1.0,10.0,62.0,62.0,0.0,0.8225806451612904,1.2156862745098038
1998.0,Group E,Netherlands,5.0,0.0,Korea Republic, ,2.0,0.0,1014.0,NED,KOR,11.0,62.0,62.0,2.0,17.0,57.0,55.0,2.0,1.087719298245614,0.9193548387096774
1998.0,Group F,Germany,2.0,2.0,Yugoslavia, ,0.0,1.0,1014.0,GER,YUG,3.0,67.0,67.0,0.0,6.0,65.0,64.0,1.0,1.0307692307692307,0.9701492537313433
1998.0,Group H,Argentina,5.0,0.0,Jamaica, ,1.0,0.0,1014.0,ARG,JAM,5.0,66.0,66.0,0.0,33.0,52.0,52.0,0.0,1.2692307692307692,0.7878787878787878
