Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change,Home Fairness Score,Away Fairness Score
2014.0,Group G,USA,2.0,2.0,Portugal, ,0.0,1.0,255931.0,USA,POR,27.0,836.0,836.0,1.0,7.0,1160.0,1160.0,0.0,0.7206896551724138,1.38755980861244
2014.0,Group B,Australia,0.0,3.0,Spain, ,0.0,1.0,255931.0,AUS,ESP,100.0,324.0,327.0,2.0,9.0,1142.0,1142.0,0.0,0.28371278458844135,3.5246913580246915
2014.0,Group B,Netherlands,2.0,0.0,Chile, ,0.0,0.0,255931.0,NED,CHI,5.0,1374.0,1374.0,0.0,14.0,1022.0,1022.0,0.0,1.3444227005870841,0.7438136826783115
2014.0,Group A,Cameroon,1.0,4.0,Brazil, ,1.0,2.0,255931.0,CMR,BRA,42.0,665.0,664.0,1.0,6.0,1316.0,1316.0,0.0,0.5053191489361702,1.9789473684210526
2014.0,Group A,Croatia,1.0,3.0,Mexico, ,0.0,0.0,255931.0,CRO,MEX,19.0,946.0,946.0,0.0,20.0,913.0,913.0,0.0,1.036144578313253,0.9651162790697675
2014.0,Group D,Italy,0.0,1.0,Uruguay, ,0.0,0.0,255931.0,ITA,URU,11.0,1103.0,1103.0,0.0,10.0,1135.0,1135.0,0.0,0.9718061674008811,1.029011786038078
2014.0,Group D,Costa Rica,0.0,0.0,England, ,0.0,0.0,255931.0,CRC,ENG,16.0,997.0,995.0,0.0,13.0,1032.0,1032.0,0.0,0.9660852713178295,1.0351053159478436
2014.0,Group C,Japan,1.0,4.0,Colombia, ,1.0,1.0,255931.0,JPN,COL,54.0,563.0,563.0,1.0,3.0,1450.0,1450.0,0.0,0.3882758620689655,2.575488454706927
2014.0,Group C,Greece,2.0,1.0,Ivory Coast, ,1.0,0.0,255931.0,GRE,CIV,24.0,856.0,856.0,1.0,28.0,833.0,861.0,4.0,1.027611044417767,0.9731308411214953
2014.0,Group F,Nigeria,2.0,3.0,Argentina, ,1.0,2.0,255931.0,NGA,ARG,43.0,656.0,656.0,1.0,2.0,1538.0,1538.0,0.0,0.4265279583875163,2.3445121951219514
2014.0,Group F,Bosnia and Herzegovina,3.0,1.0,IR Iran, ,1.0,0.0,255931.0,BIH,IRN,29.0,817.0,808.0,0.0,51.0,580.0,547.0,5.0,1.4086206896551725,0.7099143206854345
2014.0,Group E,Honduras,0.0,3.0,Switzerland, ,0.0,2.0,255931.0,HON,SUI,71.0,461.0,461.0,1.0,12.0,1091.0,1091.0,0.0,0.4225481209899175,2.366594360086768
2014.0,Group E,Ecuador,0.0,0.0,France, ,0.0,0.0,255931.0,ECU,FRA,26.0,852.0,852.0,1.0,7.0,1160.0,1160.0,0.0,0.7344827586206897,1.3615023474178405
2014.0,Group G,USA,0.0,1.0,Germany, ,0.0,0.0,255931.0,USA,GER,27.0,836.0,836.0,1.0,1.0,1725.0,1725.0,0.0,0.4846376811594203,2.063397129186603
2014.0,Group G,Portugal,2.0,1.0,Ghana, ,1.0,0.0,255931.0,POR,GHA,7.0,1160.0,1160.0,0.0,37.0,714.0,714.0,0.0,1.6246498599439776,0.6155172413793103
2014.0,Group H,Korea Republic,0.0,1.0,Belgium, ,0.0,0.0,255931.0,KOR,BEL,69.0,481.0,481.0,0.0,4.0,1417.0,1417.0,0.0,0.3394495412844037,2.945945945945946
2014.0,Group H,Algeria,1.0,1.0,Russia, ,0.0,1.0,255931.0,ALG,RUS,18.0,948.0,948.0,0.0,31.0,789.0,789.0,0.0,1.2015209125475286,0.8322784810126582
2014.0,Round of 16,Brazil,1.0,1.0,Chile,Brazil win on penalties (3 - 2) ,0.0,0.0,255951.0,BRA,CHI,6.0,1316.0,1316.0,0.0,14.0,1022.0,1022.0,0.0,1.2876712328767124,0.776595744680851
2014.0,Round of 16,Colombia,2.0,0.0,Uruguay, ,1.0,0.0,255951.0,COL,URU,3.0,1450.0,1450.0,0.0,10.0,1135.0,1135.0,0.0,1.277533039647577,0.7827586206896552
2014.0,Round of 16,Netherlands,2.0,1.0,Mexico, ,0.0,0.0,255951.0,NED,MEX,5.0,1374.0,1374.0,0.0,20.0,913.0,913.0,0.0,1.5049288061336255,0.6644832605531296
2014.0,Round of 16,Costa Rica,1.0,1.0,Greece,Costa Rica win on penalties (5 - 3) ,0.0,0.0,255951.0,CRC,GRE,16.0,997.0,995.0,0.0,24.0,856.0,856.0,1.0,1.1647196261682242,0.8585757271815446
