Goals
81.0
81.0
56.0
55.0
51.0
47.0
39.0
37.0
36.0
35.0
33.0
30.0
29.0
29.0
26.0
24.0
23.0
23.0
23.0
22.0
20.0
20.0
15.0
14.0
14.0
14.0
13.0
13.0
13.0
11.0
11.0
11.0
11.0
10.0
10.0
10.0
10.0
9.0
8.0
7.0
7.0
7.0
6.0
5.0
5.0
5.0
5.0
5.0
4.0
4.0
3.0
3.0
3.0
2.0
2.0
2.0
2.0
2.0
2.0
2.0
1.0
1.0
1.0
1.0
1.0
0.0
0.0
