Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change
2014.0,Group A,Brazil,3.0,1.0,Croatia, ,1.0,1.0,255931.0,BRA,CRO,6,1316,1316,0,19,946,946,0
2014.0,Group A,Mexico,1.0,0.0,Cameroon, ,0.0,0.0,255931.0,MEX,CMR,20,913,913,0,42,665,664,1
2014.0,Group B,Spain,1.0,5.0,Netherlands, ,1.0,1.0,255931.0,ESP,NED,9,1142,1142,0,5,1374,1374,0
2014.0,Group B,Chile,3.0,1.0,Australia, ,2.0,1.0,255931.0,CHI,AUS,14,1022,1022,0,100,324,327,2
2014.0,Group C,Colombia,3.0,0.0,Greece, ,1.0,0.0,255931.0,COL,GRE,3,1450,1450,0,24,856,856,1
2014.0,Group D,Uruguay,1.0,3.0,Costa Rica, ,1.0,0.0,255931.0,URU,CRC,10,1135,1135,0,16,997,995,0
2014.0,Group D,England,1.0,2.0,Italy, ,1.0,1.0,255931.0,ENG,ITA,13,1032,1032,0,11,1103,1103,0
2014.0,Group C,Ivory Coast,2.0,1.0,Japan, ,0.0,1.0,255931.0,CIV,JPN,28,833,861,4,54,563,563,1
2014.0,Group E,Switzerland,2.0,1.0,Ecuador, ,0.0,1.0,255931.0,SUI,ECU,12,1091,1091,0,26,852,852,1
2014.0,Group E,France,3.0,0.0,Honduras, ,1.0,0.0,255931.0,FRA,HON,7,1160,1160,0,71,461,461,1
2014.0,Group F,Argentina,2.0,1.0,Bosnia and Herzegovina, ,1.0,0.0,255931.0,ARG,BIH,2,1538,1538,0,29,817,808,0
2014.0,Group G,Germany,4.0,0.0,Portugal, ,3.0,0.0,255931.0,GER,POR,1,1725,1725,0,7,1160,1160,0
2014.0,Group F,Iran,0.0,0.0,Nigeria, ,0.0,0.0,255931.0,IRN,NGA,51,580,547,5,43,656,656,1
2014.0,Group G,Ghana,1.0,2.0,USA, ,0.0,1.0,255931.0,GHA,USA,37,714,714,0,27,836,836,1
2014.0,Group H,Belgium,2.0,1.0,Algeria, ,0.0,1.0,255931.0,BEL,ALG,4,1417,1417,0,18,948,948,0
2014.0,Group A,Brazil,0.0,0.0,Mexico, ,0.0,0.0,255931.0,BRA,MEX,6,1316,1316,0,20,913,913,0
2014.0,Group H,Russia,1.0,1.0,South Korea, ,0.0,0.0,255931.0,RUS,KOR,31,789,789,0,69,481,481,0
2014.0,Group B,Australia,2.0,3.0,Netherlands, ,1.0,1.0,255931.0,AUS,NED,100,324,327,2,5,1374,1374,0
2014.0,Group B,Spain,0.0,2.0,Chile, ,0.0,2.0,255931.0,ESP,CHI,9,1142,1142,0,14,1022,1022,0
2014.0,Group A,Cameroon,0.0,4.0,Croatia, ,0.0,1.0,255931.0,CMR,CRO,42,665,664,1,19,946,946,0
2014.0,Group C,Colombia,2.0,1.0,Ivory Coast, ,0.0,0.0,255931.0,COL,CIV,3,1450,1450,0,28,833,861,4
2014.0,Group D,Uruguay,2.0,1.0,England, ,1.0,0.0,255931.0,URU,ENG,10,1135,1135,0,13,1032,1032,0
